what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.ui",1268990237838
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1268990237838
started,bundle,org.eclipse.mylyn.commons.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.commons.ui",1268990237952
started,bundle,org.eclipse.mylyn.context.core,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.core",1268990237997
started,bundle,org.eclipse.mylyn.context.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.ui",1268990238043
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.monitor.ui",1268990238084
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui",1268990238237
started,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1268990238550
started,bundle,org.tigris.subversion.clientadapter,1.6.4.1,"org.tigris.subversion.clientadapter",1268990238550
started,bundle,org.tigris.subversion.subclipse.core,1.6.5,"org.tigris.subversion.subclipse.core",1268990238550
started,bundle,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui",1268990238588
started,bundle,org.eclipse.egit.core,0.6.0.200911171911,"org.eclipse.egit.core",1268990238588
started,bundle,org.eclipse.egit.ui,0.6.0.200911171911,"org.eclipse.egit.ui",1268990238600
started,bundle,org.eclipse.jgit,0.6.0.200911171911,"org.eclipse.jgit",1268990238608
os,sysinfo,,,"macosx",1268990238612
arch,sysinfo,,,"x86_64",1268990238612
ws,sysinfo,,,"cocoa",1268990238612
locale,sysinfo,,,"en_US",1268990238612
processors,sysinfo,,,"2",1268990238612
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268990238612
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1268990238612
java.specification.name,sysinfo,,,"Java Platform API Specification",1268990238612
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268990238612
java.specification.version,sysinfo,,,"1.6",1268990238612
java.vendor,sysinfo,,,"Apple Inc.",1268990238612
